complex_id,dataset,pose_rank,rmsd,rmsd_lt2,rmsd_lt1,ligand_file,protein_file
5s7i_LU8_A_507,proto_test,1,1.7402,True,False,5s7i_LU8_A_507_ligand_refined.sdf,5s7i_LU8_A_507_protein_refined.pdb
5s7i_LU8_B_501,proto_test,1,1.4587,True,False,5s7i_LU8_B_501_ligand_refined.sdf,5s7i_LU8_B_501_protein_refined.pdb
5s7i_LU8_A_501,proto_test,1,1.415,True,False,5s7i_LU8_A_501_ligand_refined.sdf,5s7i_LU8_A_501_protein_refined.pdb
5s7j_LU8_A_501,proto_test,1,1.4709,True,False,5s7j_LU8_A_501_ligand_refined.sdf,5s7j_LU8_A_501_protein_refined.pdb
5s7j_LU8_B_501,proto_test,1,1.468,True,False,5s7j_LU8_B_501_ligand_refined.sdf,5s7j_LU8_B_501_protein_refined.pdb
5s7k_LU8_A_501,proto_test,1,1.3599,True,False,5s7k_LU8_A_501_ligand_refined.sdf,5s7k_LU8_A_501_protein_refined.pdb
5s7k_LU8_A_507,proto_test,1,3.3189,False,False,5s7k_LU8_A_507_ligand_refined.sdf,5s7k_LU8_A_507_protein_refined.pdb
5s7k_LU8_A_506,proto_test,1,1.7166,True,False,5s7k_LU8_A_506_ligand_refined.sdf,5s7k_LU8_A_506_protein_refined.pdb
5s7k_LU8_B_501,proto_test,1,1.4631,True,False,5s7k_LU8_B_501_ligand_refined.sdf,5s7k_LU8_B_501_protein_refined.pdb
5s7l_LU8_A_507,proto_test,1,1.8143,True,False,5s7l_LU8_A_507_ligand_refined.sdf,5s7l_LU8_A_507_protein_refined.pdb
5s7l_LU8_A_501,proto_test,1,1.4829,True,False,5s7l_LU8_A_501_ligand_refined.sdf,5s7l_LU8_A_501_protein_refined.pdb
5s7l_LU8_B_501,proto_test,1,1.4058,True,False,5s7l_LU8_B_501_ligand_refined.sdf,5s7l_LU8_B_501_protein_refined.pdb
5s7m_LU8_A_501,proto_test,1,1.4892,True,False,5s7m_LU8_A_501_ligand_refined.sdf,5s7m_LU8_A_501_protein_refined.pdb
5s7m_LU8_B_501,proto_test,1,1.4014,True,False,5s7m_LU8_B_501_ligand_refined.sdf,5s7m_LU8_B_501_protein_refined.pdb
5s7n_LU8_B_501,proto_test,1,1.3875,True,False,5s7n_LU8_B_501_ligand_refined.sdf,5s7n_LU8_B_501_protein_refined.pdb
5s7n_LU8_A_501,proto_test,1,1.3588,True,False,5s7n_LU8_A_501_ligand_refined.sdf,5s7n_LU8_A_501_protein_refined.pdb
5s7n_LU8_A_507,proto_test,1,1.7683,True,False,5s7n_LU8_A_507_ligand_refined.sdf,5s7n_LU8_A_507_protein_refined.pdb
5s7n_LU8_A_508,proto_test,1,2.8006,False,False,5s7n_LU8_A_508_ligand_refined.sdf,5s7n_LU8_A_508_protein_refined.pdb
5s7o_LU8_A_508,proto_test,1,2.8533,False,False,5s7o_LU8_A_508_ligand_refined.sdf,5s7o_LU8_A_508_protein_refined.pdb
5s7o_LU8_A_507,proto_test,1,1.6987,True,False,5s7o_LU8_A_507_ligand_refined.sdf,5s7o_LU8_A_507_protein_refined.pdb
5s7o_LU8_A_501,proto_test,1,1.4488,True,False,5s7o_LU8_A_501_ligand_refined.sdf,5s7o_LU8_A_501_protein_refined.pdb
5s7o_LU8_B_501,proto_test,1,1.4616,True,False,5s7o_LU8_B_501_ligand_refined.sdf,5s7o_LU8_B_501_protein_refined.pdb
5s7p_LU8_A_508,proto_test,1,3.5908,False,False,5s7p_LU8_A_508_ligand_refined.sdf,5s7p_LU8_A_508_protein_refined.pdb
5s7p_LU8_B_501,proto_test,1,1.4629,True,False,5s7p_LU8_B_501_ligand_refined.sdf,5s7p_LU8_B_501_protein_refined.pdb
5s7p_LU8_A_507,proto_test,1,1.5649,True,False,5s7p_LU8_A_507_ligand_refined.sdf,5s7p_LU8_A_507_protein_refined.pdb
5s7p_LU8_A_501,proto_test,1,1.4184,True,False,5s7p_LU8_A_501_ligand_refined.sdf,5s7p_LU8_A_501_protein_refined.pdb
5s7q_LU8_A_508,proto_test,1,2.4685,False,False,5s7q_LU8_A_508_ligand_refined.sdf,5s7q_LU8_A_508_protein_refined.pdb
5s7q_LU8_A_507,proto_test,1,2.964,False,False,5s7q_LU8_A_507_ligand_refined.sdf,5s7q_LU8_A_507_protein_refined.pdb
5s7q_LU8_A_501,proto_test,1,1.4833,True,False,5s7q_LU8_A_501_ligand_refined.sdf,5s7q_LU8_A_501_protein_refined.pdb
5s7q_LU8_B_1802,proto_test,1,1.4883,True,False,5s7q_LU8_B_1802_ligand_refined.sdf,5s7q_LU8_B_1802_protein_refined.pdb
5s7r_LU8_A_501,proto_test,1,1.4223,True,False,5s7r_LU8_A_501_ligand_refined.sdf,5s7r_LU8_A_501_protein_refined.pdb
5s7r_LU8_A_508,proto_test,1,2.4954,False,False,5s7r_LU8_A_508_ligand_refined.sdf,5s7r_LU8_A_508_protein_refined.pdb
5s7r_LU8_A_507,proto_test,1,1.7991,True,False,5s7r_LU8_A_507_ligand_refined.sdf,5s7r_LU8_A_507_protein_refined.pdb
5s7r_LU8_B_501,proto_test,1,1.5108,True,False,5s7r_LU8_B_501_ligand_refined.sdf,5s7r_LU8_B_501_protein_refined.pdb
5s7s_LU8_B_501,proto_test,1,1.4218,True,False,5s7s_LU8_B_501_ligand_refined.sdf,5s7s_LU8_B_501_protein_refined.pdb
5s7s_LU8_A_501,proto_test,1,1.5059,True,False,5s7s_LU8_A_501_ligand_refined.sdf,5s7s_LU8_A_501_protein_refined.pdb
5s7s_LU8_A_508,proto_test,1,1.6474,True,False,5s7s_LU8_A_508_ligand_refined.sdf,5s7s_LU8_A_508_protein_refined.pdb
5s7s_LU8_A_509,proto_test,1,3.1913,False,False,5s7s_LU8_A_509_ligand_refined.sdf,5s7s_LU8_A_509_protein_refined.pdb
5s7t_LU8_A_507,proto_test,1,1.6977,True,False,5s7t_LU8_A_507_ligand_refined.sdf,5s7t_LU8_A_507_protein_refined.pdb
5s7t_LU8_A_501,proto_test,1,1.4928,True,False,5s7t_LU8_A_501_ligand_refined.sdf,5s7t_LU8_A_501_protein_refined.pdb
5s7t_LU8_A_508,proto_test,1,2.6698,False,False,5s7t_LU8_A_508_ligand_refined.sdf,5s7t_LU8_A_508_protein_refined.pdb
5s7t_LU8_B_501,proto_test,1,1.4525,True,False,5s7t_LU8_B_501_ligand_refined.sdf,5s7t_LU8_B_501_protein_refined.pdb
5s7u_LU8_A_508,proto_test,1,3.2005,False,False,5s7u_LU8_A_508_ligand_refined.sdf,5s7u_LU8_A_508_protein_refined.pdb
5s7u_LU8_A_507,proto_test,1,1.6323,True,False,5s7u_LU8_A_507_ligand_refined.sdf,5s7u_LU8_A_507_protein_refined.pdb
5s7u_LU8_A_501,proto_test,1,1.3581,True,False,5s7u_LU8_A_501_ligand_refined.sdf,5s7u_LU8_A_501_protein_refined.pdb
5s7u_LU8_B_501,proto_test,1,1.4582,True,False,5s7u_LU8_B_501_ligand_refined.sdf,5s7u_LU8_B_501_protein_refined.pdb
