epoch,train_loss,train_rmsd,train_mdn,val_loss,val_rmsd,val_mdn,seconds
30,3.55192,2.81105,0.74087,4.18191,3.43880,0.74312,613.7
31,3.51719,2.77585,0.74134,4.24964,3.51155,0.73809,605.9
32,3.50536,2.76413,0.74123,4.16833,3.42943,0.73890,600.7
33,3.49258,2.75110,0.74148,4.19167,3.44806,0.74360,618.3
34,3.48422,2.74249,0.74173,4.23000,3.48699,0.74301,608.9
35,3.47420,2.73262,0.74158,4.13177,3.38848,0.74329,617.5
36,3.44795,2.70613,0.74181,4.14531,3.40525,0.74006,604.0
37,3.44921,2.70757,0.74164,4.17479,3.42343,0.75135,605.8
38,3.40328,2.66170,0.74159,4.15479,3.41157,0.74322,604.1
39,3.40374,2.66097,0.74277,4.15833,3.41675,0.74158,613.1
40,3.38799,2.64731,0.74069,4.11529,3.37042,0.74487,604.9
41,3.40224,2.65984,0.74240,4.05617,3.31683,0.73933,607.4
42,3.36222,2.62007,0.74215,4.10594,3.36573,0.74022,606.5
43,3.36726,2.62501,0.74226,4.10491,3.36676,0.73815,606.4
44,3.33688,2.59584,0.74104,4.15248,3.41462,0.73786,608.5
45,3.33488,2.59389,0.74099,4.09796,3.35550,0.74246,607.5
46,3.32092,2.57900,0.74192,4.09390,3.35270,0.74120,606.1
47,3.31700,2.57475,0.74225,4.09429,3.35324,0.74106,607.6
48,3.30171,2.56067,0.74104,3.92937,3.19042,0.73894,615.6
49,3.29458,2.55286,0.74172,4.03702,3.29152,0.74549,614.3
50,3.29029,2.54788,0.74241,4.01990,3.27717,0.74273,605.6
51,3.28024,2.53801,0.74222,4.03668,3.29591,0.74077,603.2
52,3.27053,2.52854,0.74199,4.00702,3.26478,0.74224,609.0
53,3.25259,2.50962,0.74297,4.04542,3.30287,0.74255,606.4
54,3.24443,2.50293,0.74149,4.07616,3.33509,0.74107,609.0
55,3.21611,2.47442,0.74170,4.03702,3.29469,0.74233,602.9
56,3.24157,2.50024,0.74133,4.03332,3.29001,0.74331,606.0
57,3.23588,2.49432,0.74156,3.98436,3.24461,0.73975,604.2
58,3.20888,2.46613,0.74275,3.98730,3.24244,0.74486,607.7
59,3.20491,2.46372,0.74119,3.99426,3.25437,0.73989,608.6
60,3.20376,2.46236,0.74141,3.92602,3.18494,0.74108,604.9
61,3.19540,2.45289,0.74251,3.97741,3.23640,0.74102,609.9
62,3.18499,2.44373,0.74126,3.99595,3.24795,0.74801,612.5
63,3.16683,2.42471,0.74212,3.96898,3.22816,0.74082,610.0
64,3.16604,2.42303,0.74301,4.00749,3.26449,0.74300,605.7
65,3.13813,2.39693,0.74120,3.99441,3.25434,0.74007,614.5
66,3.15291,2.41185,0.74106,3.99395,3.25313,0.74082,604.9
67,3.13978,2.39828,0.74150,3.92422,3.18187,0.74236,611.4
68,3.11924,2.37863,0.74061,3.95533,3.21274,0.74259,941.4
69,3.13682,2.39450,0.74232,3.96831,3.22471,0.74360,659.2
70,3.12628,2.38448,0.74180,3.93484,3.19274,0.74210,607.2
71,3.10028,2.35917,0.74111,3.96344,3.21976,0.74368,603.2
72,3.11111,2.36835,0.74276,3.96466,3.22242,0.74224,608.7
73,3.09907,2.35651,0.74256,3.90386,3.16391,0.73996,608.5
74,3.07372,2.33238,0.74133,3.91347,3.17044,0.74303,605.6
75,3.07533,2.33397,0.74136,3.84801,3.10437,0.74365,604.2
76,3.08096,2.33876,0.74219,3.88165,3.13651,0.74514,603.3
77,3.07901,2.33712,0.74188,3.94090,3.20167,0.73923,607.1
78,3.05978,2.31698,0.74280,3.83043,3.09178,0.73865,606.9
79,3.07035,2.32826,0.74208,3.89474,3.15143,0.74331,601.8
80,3.04190,2.30038,0.74152,3.91998,3.17915,0.74083,603.1
81,3.04829,2.30593,0.74235,3.87680,3.13541,0.74139,602.7
82,3.05917,2.31693,0.74224,3.88513,3.13695,0.74818,602.7
83,3.03960,2.29851,0.74109,3.89644,3.15065,0.74578,609.4
84,3.04159,2.30026,0.74133,3.96243,3.21809,0.74434,607.8
85,3.02422,2.28242,0.74180,3.91291,3.16747,0.74544,610.4
86,3.02572,2.28348,0.74223,3.86600,3.12395,0.74205,603.7
